Analyzer:;PQM-711 (BS0109)
Recording start: ;2019-10-17 10:50:00.004
Recording stop: ;2019-10-25 13:30:00.186
Time:;(UTC+2)
Flag:;
E - event;
P - PLL no synchronization;
G - GPS no synchronization;
T - time resynchronization;
A - A/D overflow;

;;'E';'P';'G';'T';'A';Date      ;Time (UTC+2);U L1 min [V];U L1 max [V];U L1 avg [V];U L2 min [V];U L2 max [V];U L2 avg [V];U L3 min [V];U L3 max [V];U L3 avg [V];U N-PE min [V];U N-PE max [V];U N-PE avg [V];U L12 avg [V];U L23 avg [V];U L31 avg [V];I *L1 min [A];I *L1 max [A];I *L1 avg [A];I *L2 min [A];I *L2 max [A];I *L2 avg [A];I *L3 min [A];I *L3 max [A];I *L3 avg [A];I *N min [A];I *N max [A];I *N avg [A];Pst L1 inst [---];Pst L2 inst [---];Pst L3 inst [---];Plt L1 inst [---];Plt L2 inst [---];Plt L3 inst [---];U0/U1 Σ min [%];U0/U1 Σ max [%];U0/U1 Σ avg [%];U2/U1 Σ min [%];U2/U1 Σ max [%];U2/U1 Σ avg [%];U0 Σ min [V];U0 Σ max [V];U0 Σ avg [V];U1 Σ min [V];U1 Σ max [V];U1 Σ avg [V];U2 Σ min [V];U2 Σ max [V];U2 Σ avg [V];I0/I1 Σ min [%];I0/I1 Σ max [%];I0/I1 Σ avg [%];I2/I1 Σ min [%];I2/I1 Σ max [%];I2/I1 Σ avg [%];I0 Σ min [A];I0 Σ max [A];I0 Σ avg [A];I1 Σ min [A];I1 Σ max [A];I1 Σ avg [A];I2 Σ min [A];I2 Σ max [A];I2 Σ avg [A];PF L1 avg [---];PF L2 avg [---];PF L3 avg [---];PF Σ avg [---];P L1 min [kW];P L1 max [kW];P L1 avg [kW];P L2 min [kW];P L2 max [kW];P L2 avg [kW];P L3 min [kW];P L3 max [kW];P L3 avg [kW];P Σ min [kW] ;P Σ max [kW] ;P Σ avg [kW] ;Q1 L1 min [kvar];Q1 L1 max [kvar];Q1 L1 avg [kvar];Q1 L2 min [kvar];Q1 L2 max [kvar];Q1 L2 avg [kvar];Q1 L3 min [kvar];Q1 L3 max [kvar];Q1 L3 avg [kvar];Q1 Σ min [kvar];Q1 Σ max [kvar];Q1 Σ avg [kvar];S L1 min [kVA];S L1 max [kVA];S L1 avg [kVA];S L2 min [kVA];S L2 max [kVA];S L2 avg [kVA];S L3 min [kVA];S L3 max [kVA];S L3 avg [kVA];S Σ min [kVA];S Σ max [kVA];S Σ avg [kVA]
;;   ;   ;   ;   ;   ;2019-10-17;10:50:00.004;233,28      ;236,33      ;235,06      ;233,64      ;236,78      ;235,41      ;233,67      ;236,67      ;235,38      ;0,0249        ;0,0249        ;0,0249        ;407,43       ;408,03       ;407,10       ;14,294       ;23,173       ;20,644       ;14,448       ;16,204       ;15,340       ;10,969       ;16,692       ;15,307       ;4,0997      ;12,595      ;8,4279      ;0,36             ;0,36             ;0,35             ;                 ;                 ;                 ;0,01           ;0,08           ;0,05           ;0,07           ;0,22           ;0,14           ;0,0249      ;0,1992      ;0,1245      ;233,68      ;236,39      ;235,26      ;0,1743      ;0,5230      ;0,3238      ;5,09           ;30,31          ;17,30          ;4,88           ;31,26          ;13,92          ;0,75531     ;4,4088      ;2,8812      ;14,547      ;17,811      ;16,658      ;0,72348     ;4,5467      ;2,3190      ;-0,75          ;-0,55          ;-0,46          ;-0,58         ;-4,009490E+03;-2,104595E+03;-3,625168E+03;-2,236025E+03;-1,743052E+03;-1,991365E+03;-1,960373E+03;2,956357E+00 ;-1,670051E+03;-8,179400E+03;-5,493655E+03;-7,286592E+03;-3,404209E+03   ;-2,694854E+03   ;-3,160128E+03   ;-2,982165E+03   ;-2,825418E+03   ;-2,933400E+03   ;-3,273874E+03   ;-2,533084E+03   ;-3,137928E+03   ;-9,650814E+03  ;-8,645995E+03  ;-9,229499E+03  ;3,542875E+03  ;5,290791E+03  ;4,851511E+03  ;3,426815E+03  ;3,771186E+03  ;3,610777E+03  ;2,602291E+03  ;3,848833E+03  ;3,602076E+03  ;1,081528E+04 ;1,358493E+04 ;1,266974E+04 
;;   ;   ;   ;   ;   ;2019-10-17;11:00:00.038;233,42      ;236,52      ;235,29      ;234,09      ;236,86      ;235,70      ;234,06      ;236,78      ;235,67      ;0,0249        ;0,0249        ;0,0249        ;407,92       ;408,44       ;407,59       ;15,951       ;24,546       ;19,567       ;9,6309       ;16,904       ;13,893       ;10,626       ;17,764       ;16,350       ;4,1457      ;15,109      ;9,0960      ;0,36             ;0,35             ;0,35             ;                 ;                 ;                 ;0,01           ;0,09           ;0,05           ;0,03           ;0,21           ;0,14           ;0,0249      ;0,2119      ;0,1247      ;234,04      ;236,53      ;235,52      ;0,0623      ;0,4986      ;0,3241      ;4,73           ;31,61          ;19,70          ;8,27           ;30,53          ;19,11          ;0,70943     ;5,2200      ;3,1449      ;13,544      ;17,879      ;15,963      ;1,2923      ;4,8881      ;3,0505      ;-0,66          ;-0,32          ;-0,56          ;-0,50         ;-4,444115E+03;-1,922973E+03;-2,991569E+03;-2,288807E+03;8,702834E+02 ;-1,043419E+03;-2,511471E+03;-9,050825E+02;-2,143398E+03;-8,206535E+03;-3,427494E+03;-6,178383E+03;-3,411354E+03   ;-2,757690E+03   ;-3,285701E+03   ;-3,131220E+03   ;-2,279283E+03   ;-2,961187E+03   ;-3,273691E+03   ;-2,430583E+03   ;-3,144970E+03   ;-9,739246E+03  ;-8,551991E+03  ;-9,390918E+03  ;3,824661E+03  ;5,568857E+03  ;4,546152E+03  ;2,434705E+03  ;3,865231E+03  ;3,267569E+03  ;2,691864E+03  ;4,050696E+03  ;3,851395E+03  ;1,031055E+04 ;1,421139E+04 ;1,234695E+04 
;;   ;   ;   ;   ;   ;2019-10-17;11:10:00.163;233,23      ;236,29      ;235,14      ;234,05      ;236,89      ;235,84      ;233,99      ;236,85      ;235,80      ;0,0250        ;0,0250        ;0,0250        ;407,67       ;408,78       ;407,74       ;11,265       ;17,528       ;15,053       ;10,099       ;14,168       ;13,083       ;13,994       ;16,945       ;15,254       ;4,2933      ;12,814      ;6,7193      ;0,36             ;0,36             ;0,35             ;                 ;                 ;                 ;0,01           ;0,08           ;0,04           ;0,10           ;0,24           ;0,18           ;0,0250      ;0,1747      ;0,0873      ;233,87      ;236,53      ;235,56      ;0,2495      ;0,5614      ;0,4242      ;5,80           ;33,97          ;14,10          ;10,52          ;33,74          ;19,61          ;0,88210     ;4,1067      ;1,9536      ;12,087      ;15,247      ;13,860      ;1,5930      ;4,0778      ;2,7174      ;-0,06          ;-0,20          ;-0,50          ;-0,25         ;-2,114829E+03;1,643005E+03 ;-2,163735E+02;-1,354240E+03;1,344574E+02 ;-6,282400E+02;-2,386808E+03;-1,184641E+03;-1,799583E+03;-5,725784E+03;2,670911E+01 ;-2,644195E+03;-3,370128E+03   ;-2,593320E+03   ;-3,288290E+03   ;-2,982422E+03   ;-2,408031E+03   ;-2,916564E+03   ;-3,088111E+03   ;-2,998016E+03   ;-3,045141E+03   ;-9,404589E+03  ;-8,533707E+03  ;-9,251566E+03  ;2,896977E+03  ;3,935508E+03  ;3,534239E+03  ;2,504331E+03  ;3,258631E+03  ;3,083968E+03  ;3,320050E+03  ;3,889108E+03  ;3,591975E+03  ;9,873271E+03 ;1,126088E+04 ;1,060071E+04 
;;   ;   ;   ;   ;   ;2019-10-17;11:20:00.167;233,27      ;236,09      ;234,82      ;233,86      ;236,85      ;235,50      ;233,80      ;236,76      ;235,42      ;0,0249        ;0,0249        ;0,0249        ;407,19       ;408,09       ;407,09       ;13,798       ;16,132       ;14,987       ;12,639       ;14,576       ;13,582       ;10,244       ;15,566       ;13,991       ;4,3409      ;14,101      ;7,2796      ;0,35             ;0,35             ;0,34             ;                 ;                 ;                 ;0,00           ;0,08           ;0,04           ;0,09           ;0,24           ;0,16           ;0,0125      ;0,1744      ;0,0872      ;233,95      ;236,44      ;235,22      ;0,2117      ;0,5480      ;0,3736      ;1,15           ;32,06          ;15,54          ;13,38          ;34,42          ;23,62          ;0,14918     ;4,1410      ;2,0855      ;12,696      ;13,805      ;13,422      ;1,7970      ;4,4448      ;3,1701      ;0,13           ;0,26           ;-0,30          ;0,03          ;-1,454498E+02;1,827358E+03 ;4,516979E+02 ;-3,365654E+02;1,465181E+03 ;8,442954E+02 ;-1,749082E+03;4,028657E+02 ;-9,994020E+02;-1,425590E+03;2,319892E+03 ;2,965909E+02 ;-3,620196E+03   ;-3,057223E+03   ;-3,401547E+03   ;-3,015525E+03   ;-2,884879E+03   ;-2,946348E+03   ;-3,127163E+03   ;-2,429263E+03   ;-3,078153E+03   ;-9,712277E+03  ;-8,847200E+03  ;-9,428537E+03  ;3,271776E+03  ;3,752556E+03  ;3,517403E+03  ;2,966525E+03  ;3,377001E+03  ;3,195928E+03  ;2,532165E+03  ;3,561324E+03  ;3,292169E+03  ;9,724712E+03 ;1,145113E+04 ;1,044736E+04 
;;   ;   ;   ;   ;   ;2019-10-17;11:30:00.168;232,98      ;236,02      ;234,55      ;233,51      ;236,66      ;235,11      ;233,39      ;236,56      ;235,02      ;0,0249        ;0,0249        ;0,0249        ;406,67       ;407,36       ;406,52       ;10,874       ;27,295       ;18,014       ;11,920       ;21,801       ;14,802       ;14,352       ;26,201       ;18,091       ;4,3951      ;19,631      ;7,2191      ;0,35             ;0,35             ;0,35             ;                 ;                 ;                 ;0,01           ;0,07           ;0,04           ;0,06           ;0,20           ;0,13           ;0,0249      ;0,1741      ;0,0870      ;233,34      ;236,05      ;234,86      ;0,1492      ;0,4724      ;0,3108      ;3,41           ;33,17          ;12,99          ;7,65           ;43,68          ;17,12          ;0,77889     ;4,0952      ;2,1342      ;12,112      ;24,201      ;16,424      ;1,5428      ;5,2898      ;2,8115      ;-0,47          ;-0,38          ;-0,68          ;-0,50         ;-5,373989E+03;5,574927E+02 ;-1,947109E+03;-4,022122E+03;1,897325E+03 ;-1,313185E+03;-5,342909E+03;-1,606770E+03;-2,860105E+03;-1,449047E+04;1,083240E+02 ;-6,120401E+03;-3,306953E+03   ;-2,541334E+03   ;-3,247548E+03   ;-2,962811E+03   ;-2,237779E+03   ;-2,891743E+03   ;-3,088334E+03   ;-2,245016E+03   ;-3,013462E+03   ;-9,335923E+03  ;-8,362981E+03  ;-9,154175E+03  ;2,688154E+03  ;6,316325E+03  ;4,128924E+03  ;2,821528E+03  ;4,970903E+03  ;3,444850E+03  ;3,372061E+03  ;6,137274E+03  ;4,219999E+03  ;1,024252E+04 ;1,749210E+04 ;1,224130E+04 
;;   ;   ;   ;   ;   ;2019-10-17;11:40:00.059;233,24      ;235,98      ;234,88      ;233,65      ;236,54      ;235,43      ;233,65      ;236,60      ;235,41      ;0,0249        ;0,0249        ;0,0249        ;407,22       ;408,03       ;407,12       ;11,389       ;34,612       ;21,038       ;12,813       ;28,194       ;16,970       ;11,231       ;31,407       ;20,638       ;4,4641      ;16,527      ;6,7204      ;0,35             ;0,35             ;0,35             ;                 ;                 ;                 ;0,01           ;0,09           ;0,03           ;0,07           ;0,22           ;0,15           ;0,0374      ;0,2117      ;0,0747      ;233,83      ;236,19      ;235,22      ;0,1619      ;0,5106      ;0,3487      ;4,84           ;31,91          ;10,52          ;6,09           ;32,06          ;13,80          ;1,0310      ;4,8982      ;2,0123      ;14,929      ;30,796      ;19,129      ;1,3426      ;4,9204      ;2,6398      ;-0,70          ;-0,64          ;-0,78          ;-0,69         ;-7,354214E+03;-4,059014E+02;-3,377542E+03;-5,942942E+03;-1,369746E+03;-2,506207E+03;-6,804287E+03;-1,257218E+03;-3,774840E+03;-1,983003E+04;-5,723803E+03;-9,658581E+03;-3,342514E+03   ;-2,841706E+03   ;-3,250752E+03   ;-2,941681E+03   ;-2,379612E+03   ;-2,884529E+03   ;-3,046779E+03   ;-2,264500E+03   ;-2,896260E+03   ;-9,252498E+03  ;-8,466442E+03  ;-9,032904E+03  ;2,987351E+03  ;8,086117E+03  ;4,844038E+03  ;3,247313E+03  ;6,626728E+03  ;3,945844E+03  ;2,750926E+03  ;7,383188E+03  ;4,811879E+03  ;1,160831E+04 ;2,205248E+04 ;1,398982E+04 
;;   ;   ;   ;   ;   ;2019-10-17;11:50:00.163;232,98      ;235,88      ;234,61      ;233,62      ;236,56      ;235,29      ;233,49      ;236,66      ;235,32      ;0,0249        ;0,0249        ;0,0249        ;406,76       ;407,83       ;406,87       ;12,897       ;48,564       ;34,794       ;10,339       ;42,704       ;31,022       ;20,113       ;49,994       ;37,073       ;4,1349      ;16,916      ;9,6963      ;0,37             ;0,37             ;0,37             ;                 ;                 ;                 ;0,01           ;0,11           ;0,06           ;0,10           ;0,26           ;0,18           ;0,0249      ;0,2489      ;0,1369      ;233,51      ;236,26      ;235,04      ;0,2365      ;0,6099      ;0,4232      ;1,35           ;39,58          ;9,74           ;2,40           ;50,01          ;10,73          ;0,56149     ;5,8804      ;3,3018      ;13,248      ;46,398      ;33,891      ;0,99939     ;6,7806      ;3,6359      ;-0,82          ;-0,88          ;-0,93          ;-0,85         ;-1,093200E+04;7,049397E+02 ;-6,127399E+03;-9,583606E+03;-8,551736E+02;-6,022420E+03;-1,141235E+04;-3,761884E+03;-7,774084E+03;-3,158694E+04;-4,262708E+03;-1,992387E+04;-3,184078E+03   ;-2,433242E+03   ;-2,999483E+03   ;-2,931588E+03   ;-2,355464E+03   ;-2,834222E+03   ;-2,905272E+03   ;-2,702235E+03   ;-2,833424E+03   ;-8,965695E+03  ;-8,077256E+03  ;-8,667559E+03  ;3,101734E+03  ;1,136332E+04  ;7,468441E+03  ;2,662198E+03  ;1,002817E+04  ;6,869366E+03  ;4,755620E+03  ;1,177508E+04  ;8,361558E+03  ;1,230689E+04 ;3,302542E+04 ;2,334117E+04 
;;   ;   ;   ;   ;   ;2019-10-17;12:00:00.019;233,62      ;236,81      ;235,22      ;234,09      ;237,32      ;235,79      ;234,26      ;237,50      ;235,89      ;0,0250        ;0,0250        ;0,0250        ;407,74       ;408,76       ;407,89       ;26,502       ;57,092       ;36,894       ;23,685       ;48,568       ;33,455       ;30,846       ;52,795       ;39,741       ;3,6974      ;15,062      ;7,4489      ;0,36             ;0,36             ;0,36             ;                 ;                 ;                 ;0,00           ;0,10           ;0,04           ;0,06           ;0,27           ;0,17           ;0,0000      ;0,2370      ;0,0873      ;234,17      ;237,04      ;235,61      ;0,1497      ;0,6362      ;0,3992      ;0,12           ;13,88          ;6,55           ;0,85           ;15,43          ;7,98           ;0,038333    ;5,4398      ;2,3871      ;27,767      ;52,196      ;36,450      ;0,34848     ;5,9016      ;2,9081      ;-0,92          ;-0,92          ;-0,95          ;-0,92         ;-1,303011E+04;-5,351116E+03;-7,819404E+03;-1,109961E+04;-4,815842E+03;-7,195688E+03;-1,204110E+04;-6,779860E+03;-8,812888E+03;-3,599026E+04;-1,736631E+04;-2,382795E+04;-3,266521E+03   ;-2,911938E+03   ;-3,118281E+03   ;-2,985846E+03   ;-2,328444E+03   ;-2,859367E+03   ;-2,951299E+03   ;-2,342765E+03   ;-2,887123E+03   ;-9,193153E+03  ;-8,328575E+03  ;-8,866202E+03  ;6,296946E+03  ;1,344223E+04  ;8,488874E+03  ;5,709710E+03  ;1,143579E+04  ;7,797222E+03  ;7,400737E+03  ;1,238773E+04  ;9,300508E+03  ;2,006856E+04 ;3,730809E+04 ;2,587775E+04 
;;   ;   ;   ;   ;   ;2019-10-17;12:10:00.073;234,27      ;237,36      ;235,91      ;234,61      ;237,46      ;236,21      ;234,64      ;237,59      ;236,31      ;0,0250        ;0,0250        ;0,0250        ;409,07       ;409,39       ;408,54       ;35,825       ;61,749       ;48,857       ;19,057       ;38,061       ;29,940       ;24,616       ;45,887       ;38,470       ;8,8480      ;25,411      ;15,708      ;0,36             ;0,36             ;0,35             ;                 ;                 ;                 ;0,06           ;0,17           ;0,11           ;0,05           ;0,22           ;0,13           ;0,1249      ;0,4123      ;0,2499      ;234,61      ;237,29      ;236,11      ;0,1124      ;0,5248      ;0,3124      ;8,59           ;24,51          ;14,93          ;9,05           ;23,88          ;15,55          ;3,1604      ;9,3832      ;5,7950      ;26,987      ;47,127      ;38,814      ;3,4431      ;9,2174      ;6,0344      ;-0,96          ;-0,90          ;-0,94          ;-0,90         ;-1,403398E+04;-7,842432E+03;-1,095772E+04;-8,455345E+03;-3,330780E+03;-6,349229E+03;-1,045210E+04;-4,922360E+03;-8,556008E+03;-3,213593E+04;-1,665763E+04;-2,586295E+04;-3,290281E+03   ;-3,132233E+03   ;-3,191404E+03   ;-2,992553E+03   ;-2,701629E+03   ;-2,850670E+03   ;-3,072771E+03   ;-2,815548E+03   ;-2,901773E+03   ;-9,343114E+03  ;-8,692287E+03  ;-8,938866E+03  ;8,517331E+03  ;1,441830E+04  ;1,145463E+04  ;4,552536E+03  ;8,930391E+03  ;7,019506E+03  ;5,823254E+03  ;1,085446E+04  ;9,057927E+03  ;2,119870E+04 ;3,461100E+04 ;2,882182E+04 
;;   ;   ;   ;   ;   ;2019-10-17;12:20:00.096;233,63      ;237,17      ;235,69      ;233,89      ;237,70      ;236,17      ;233,97      ;237,65      ;236,14      ;0,0250        ;0,0250        ;0,0250        ;408,79       ;409,39       ;408,11       ;33,902       ;62,340       ;48,729       ;21,728       ;43,484       ;34,610       ;25,270       ;42,637       ;36,007       ;7,6579      ;26,193      ;14,658      ;0,36             ;0,36             ;0,35             ;                 ;                 ;                 ;0,05           ;0,18           ;0,10           ;0,11           ;0,27           ;0,19           ;0,1124      ;0,4248      ;0,2374      ;234,25      ;237,33      ;235,97      ;0,2624      ;0,6372      ;0,4498      ;7,00           ;25,72          ;13,38          ;4,81           ;25,30          ;12,44          ;2,4220      ;9,6652      ;5,2816      ;30,639      ;46,610      ;39,465      ;1,7466      ;9,5225      ;4,9087      ;-0,96          ;-0,93          ;-0,93          ;-0,91         ;-1,428374E+04;-7,942847E+03;-1,098973E+04;-9,813811E+03;-4,346053E+03;-7,514495E+03;-9,536871E+03;-5,593422E+03;-7,888497E+03;-3,177167E+04;-1,982677E+04;-2,639274E+04;-3,190640E+03   ;-2,085521E+03   ;-2,857116E+03   ;-3,080588E+03   ;-2,712430E+03   ;-2,882274E+03   ;-3,084926E+03   ;-2,365809E+03   ;-3,016042E+03   ;-9,164917E+03  ;-7,906887E+03  ;-8,748677E+03  ;8,320765E+03  ;1,465627E+04  ;1,140474E+04  ;5,371517E+03  ;1,024223E+04  ;8,109263E+03  ;6,116974E+03  ;1,000178E+04  ;8,471149E+03  ;2,274209E+04 ;3,487985E+04 ;2,900378E+04 
;;   ;   ;   ;   ;   ;2019-10-17;12:30:00.141;234,04      ;237,19      ;235,94      ;234,44      ;237,54      ;236,29      ;234,51      ;237,48      ;236,25      ;0,0250        ;0,0250        ;0,0250        ;409,28       ;409,62       ;408,21       ;38,185       ;74,007       ;57,169       ;13,918       ;51,640       ;35,877       ;23,872       ;42,700       ;34,939       ;15,027      ;31,642      ;22,806      ;0,38             ;0,38             ;0,38             ;                 ;                 ;                 ;0,11           ;0,22           ;0,16           ;0,09           ;0,31           ;0,22           ;0,2500      ;0,5126      ;0,3750      ;234,48      ;237,16      ;236,13      ;0,2250      ;0,7376      ;0,5126      ;11,29          ;38,67          ;19,94          ;10,81          ;38,22          ;19,02          ;5,4230      ;11,729      ;8,4067      ;23,892      ;54,569      ;42,167      ;5,1949      ;11,481      ;8,0205      ;-0,97          ;-0,91          ;-0,93          ;-0,87         ;-1,713021E+04;-8,472272E+03;-1,294138E+04;-1,187277E+04;-9,864429E+02;-7,362040E+03;-9,671137E+03;-4,706588E+03;-7,579471E+03;-3,760798E+04;-1,419707E+04;-2,788287E+04;-3,127087E+03   ;-2,499393E+03   ;-3,000088E+03   ;-3,080942E+03   ;-2,337233E+03   ;-2,866105E+03   ;-3,103160E+03   ;-2,371901E+03   ;-2,997968E+03   ;-9,277290E+03  ;-8,185873E+03  ;-8,846526E+03  ;9,052865E+03  ;1,740582E+04  ;1,332394E+04  ;3,308795E+03  ;1,221265E+04  ;8,055451E+03  ;5,652671E+03  ;1,007780E+04  ;8,186972E+03  ;2,150858E+04 ;4,167216E+04 ;3,201045E+04 
;;   ;   ;   ;   ;   ;2019-10-17;12:40:00.173;234,62      ;238,21      ;236,37      ;234,88      ;238,35      ;236,66      ;234,96      ;238,20      ;236,64      ;0,0250        ;0,0250        ;0,0250        ;410,08       ;410,18       ;408,93       ;18,866       ;76,534       ;56,986       ;14,781       ;44,417       ;28,158       ;14,162       ;48,210       ;33,789       ;4,9331      ;38,300      ;25,700      ;0,35             ;0,35             ;0,34             ;                 ;                 ;                 ;0,03           ;0,26           ;0,18           ;0,12           ;0,29           ;0,21           ;0,0626      ;0,6134      ;0,4131      ;234,91      ;237,89      ;236,52      ;0,2879      ;0,7010      ;0,5007      ;6,82           ;34,55          ;24,31          ;2,67           ;35,40          ;24,21          ;1,1912      ;14,054      ;9,5206      ;15,608      ;54,624      ;39,168      ;0,46715     ;14,173      ;9,4832      ;-0,96          ;-0,87          ;-0,90          ;-0,83         ;-1,780163E+04;-3,103334E+03;-1,228712E+04;-1,009971E+04;-1,632651E+03;-5,623028E+03;-1,102616E+04;-1,249012E+03;-6,906239E+03;-3,791897E+04;-6,067554E+03;-2,481640E+04;-3,222766E+03   ;-2,413383E+03   ;-3,025091E+03   ;-3,158465E+03   ;-2,120956E+03   ;-2,891518E+03   ;-3,091497E+03   ;-2,684693E+03   ;-2,912189E+03   ;-9,401421E+03  ;-7,956891E+03  ;-8,807189E+03  ;4,513563E+03  ;1,807073E+04  ;1,280294E+04  ;3,495727E+03  ;1,051826E+04  ;6,459302E+03  ;3,362986E+03  ;1,138251E+04  ;7,686896E+03  ;1,193940E+04 ;4,199050E+04 ;2,999601E+04 
;;   ;   ;   ;   ;   ;2019-10-17;12:50:00.128;234,54      ;237,18      ;236,08      ;235,00      ;237,81      ;236,64      ;234,93      ;237,69      ;236,54      ;0,0250        ;0,0250        ;0,0250        ;409,52       ;410,21       ;408,75       ;18,720       ;32,267       ;28,178       ;13,080       ;21,187       ;16,344       ;13,746       ;22,234       ;17,472       ;5,0331      ;19,415      ;14,733      ;0,36             ;0,35             ;0,35             ;                 ;                 ;                 ;0,03           ;0,13           ;0,10           ;0,13           ;0,29           ;0,21           ;0,0626      ;0,3005      ;0,2254      ;235,05      ;237,38      ;236,39      ;0,3005      ;0,6886      ;0,5008      ;7,04           ;35,55          ;26,95          ;2,67           ;32,68          ;23,97          ;1,2260      ;7,0174      ;5,3571      ;15,391      ;22,991      ;19,873      ;0,46481     ;6,4374      ;4,7633      ;-0,88          ;-0,61          ;-0,62          ;-0,66         ;-6,860238E+03;-3,086563E+03;-5,807488E+03;-3,875119E+03;-1,125282E+03;-2,335295E+03;-4,165145E+03;-1,012193E+03;-2,539498E+03;-1,371573E+04;-5,825487E+03;-1,068230E+04;-3,255062E+03   ;-2,689004E+03   ;-3,056101E+03   ;-3,013710E+03   ;-2,774458E+03   ;-2,899757E+03   ;-3,207981E+03   ;-2,896441E+03   ;-3,121902E+03   ;-9,454488E+03  ;-8,700023E+03  ;-9,070988E+03  ;4,492187E+03  ;7,513453E+03  ;6,622391E+03  ;3,263614E+03  ;4,856189E+03  ;3,847386E+03  ;3,259155E+03  ;5,180692E+03  ;4,107979E+03  ;1,188236E+04 ;1,813995E+04 ;1,624545E+04 
;;   ;   ;   ;   ;   ;2019-10-17;13:00:00.125;233,72      ;237,13      ;235,88      ;234,27      ;237,57      ;236,33      ;234,22      ;237,59      ;236,33      ;0,0250        ;0,0250        ;0,0250        ;409,20       ;409,54       ;408,47       ;18,347       ;43,943       ;28,141       ;12,160       ;18,473       ;14,220       ;11,512       ;27,795       ;19,360       ;5,2089      ;27,956      ;17,503      ;0,37             ;0,37             ;0,36             ;                 ;                 ;                 ;0,02           ;0,19           ;0,11           ;0,08           ;0,25           ;0,17           ;0,0500      ;0,4375      ;0,2625      ;234,42      ;237,26      ;236,16      ;0,2000      ;0,5875      ;0,4000      ;7,44           ;52,05          ;33,20          ;3,25           ;50,29          ;30,80          ;1,2794      ;10,321      ;6,3918      ;13,725      ;28,485      ;19,254      ;0,55254     ;10,368      ;5,9291      ;-0,87          ;-0,32          ;-0,70          ;-0,60         ;-9,765649E+03;-3,041818E+03;-5,603446E+03;-3,217957E+03;1,061000E+03 ;-1,057856E+03;-5,805417E+03;-1,167229E+03;-3,179158E+03;-1,813992E+04;-4,706397E+03;-9,840473E+03;-3,172618E+03   ;-2,101419E+03   ;-2,993306E+03   ;-3,015300E+03   ;-2,765032E+03   ;-2,896992E+03   ;-3,207504E+03   ;-2,554522E+03   ;-3,124565E+03   ;-9,336089E+03  ;-8,212943E+03  ;-9,007659E+03  ;4,391240E+03  ;1,029414E+04  ;6,450228E+03  ;2,934410E+03  ;4,332219E+03  ;3,344809E+03  ;2,909169E+03  ;6,547979E+03  ;4,535353E+03  ;1,224954E+04 ;2,399272E+04 ;1,645778E+04 
;;   ;   ;   ;   ;   ;2019-10-17;13:10:00.046;234,26      ;237,28      ;235,95      ;234,65      ;237,55      ;236,33      ;234,66      ;237,60      ;236,38      ;0,0250        ;0,0250        ;0,0250        ;409,27       ;409,74       ;408,44       ;24,768       ;66,445       ;45,514       ;10,439       ;40,012       ;23,978       ;17,160       ;44,753       ;27,889       ;10,407      ;30,021      ;20,496      ;0,37             ;0,37             ;0,36             ;                 ;                 ;                 ;0,07           ;0,20           ;0,14           ;0,11           ;0,26           ;0,19           ;0,1751      ;0,4752      ;0,3251      ;234,63      ;237,35      ;236,20      ;0,2626      ;0,6253      ;0,4502      ;16,28          ;42,57          ;23,66          ;15,34          ;38,15          ;22,65          ;4,1227      ;11,007      ;7,5579      ;18,821      ;47,714      ;31,951      ;3,4555      ;11,017      ;7,2354      ;-0,95          ;-0,82          ;-0,87          ;-0,80         ;-1,523217E+04;-5,551572E+03;-9,923137E+03;-9,002882E+03;-6,023447E+02;-4,440617E+03;-1,014644E+04;-2,687459E+03;-5,512734E+03;-3,277358E+04;-1,020873E+04;-1,987650E+04;-3,207039E+03   ;-2,649588E+03   ;-3,093539E+03   ;-2,975309E+03   ;-2,100383E+03   ;-2,766929E+03   ;-3,010153E+03   ;-2,318018E+03   ;-2,934630E+03   ;-9,138451E+03  ;-7,974364E+03  ;-8,783797E+03  ;6,223449E+03  ;1,555464E+04  ;1,045929E+04  ;2,611413E+03  ;9,422262E+03  ;5,428163E+03  ;4,063152E+03  ;1,056519E+04  ;6,354418E+03  ;1,556908E+04 ;3,681370E+04 ;2,470402E+04 
